# time(ps) 	kappa_vv_mean	kappa_vv_upper	kappa_vv_lower
2.880000e-01	2.915189e-15	2.915189e-15	2.915189e-15
2.890000e-01	2.907461e-15	2.907461e-15	2.907461e-15
2.900000e-01	2.899619e-15	2.899619e-15	2.899619e-15
2.910000e-01	2.891667e-15	2.891667e-15	2.891667e-15
2.920000e-01	2.883609e-15	2.883609e-15	2.883609e-15
2.930000e-01	2.875450e-15	2.875450e-15	2.875450e-15
2.940000e-01	2.867196e-15	2.867196e-15	2.867196e-15
2.950000e-01	2.858852e-15	2.858852e-15	2.858852e-15
2.960000e-01	2.850424e-15	2.850424e-15	2.850424e-15
2.970000e-01	2.841921e-15	2.841921e-15	2.841921e-15
2.980000e-01	2.833349e-15	2.833349e-15	2.833349e-15
2.990000e-01	2.824715e-15	2.824715e-15	2.824715e-15
3.000000e-01	2.816028e-15	2.816028e-15	2.816028e-15
3.010000e-01	2.807294e-15	2.807294e-15	2.807294e-15
3.020000e-01	2.798522e-15	2.798522e-15	2.798522e-15
3.030000e-01	2.789720e-15	2.789720e-15	2.789720e-15
3.040000e-01	2.780895e-15	2.780895e-15	2.780895e-15
3.050000e-01	2.772057e-15	2.772057e-15	2.772057e-15
3.060000e-01	2.763212e-15	2.763212e-15	2.763212e-15
3.070000e-01	2.754370e-15	2.754370e-15	2.754370e-15
3.080000e-01	2.745538e-15	2.745538e-15	2.745538e-15
3.090000e-01	2.736723e-15	2.736723e-15	2.736723e-15
3.100000e-01	2.727934e-15	2.727934e-15	2.727934e-15
3.110000e-01	2.719179e-15	2.719179e-15	2.719179e-15
3.120000e-01	2.710465e-15	2.710465e-15	2.710465e-15
3.130000e-01	2.701800e-15	2.701800e-15	2.701800e-15
3.140000e-01	2.693190e-15	2.693190e-15	2.693190e-15
3.150000e-01	2.684644e-15	2.684644e-15	2.684644e-15
3.160000e-01	2.676169e-15	2.676169e-15	2.676169e-15
3.170000e-01	2.667772e-15	2.667772e-15	2.667772e-15
3.180000e-01	2.659459e-15	2.659459e-15	2.659459e-15
3.190000e-01	2.651238e-15	2.651238e-15	2.651238e-15
3.200000e-01	2.643116e-15	2.643116e-15	2.643116e-15
3.210000e-01	2.635099e-15	2.635099e-15	2.635099e-15
3.220000e-01	2.627194e-15	2.627194e-15	2.627194e-15
3.230000e-01	2.619407e-15	2.619407e-15	2.619407e-15
