# time(ps) 	kappa_ev_mean	kappa_ev_upper	kappa_ev_lower
3.500000e-01	-2.559188e-08	-2.559188e-08	-2.559188e-08
3.510000e-01	-2.552372e-08	-2.552372e-08	-2.552372e-08
3.520000e-01	-2.545452e-08	-2.545452e-08	-2.545452e-08
3.530000e-01	-2.538444e-08	-2.538444e-08	-2.538444e-08
3.540000e-01	-2.531369e-08	-2.531369e-08	-2.531369e-08
3.550000e-01	-2.524254e-08	-2.524254e-08	-2.524254e-08
3.560000e-01	-2.517131e-08	-2.517131e-08	-2.517131e-08
3.570000e-01	-2.510040e-08	-2.510040e-08	-2.510040e-08
3.580000e-01	-2.503023e-08	-2.503023e-08	-2.503023e-08
3.590000e-01	-2.496128e-08	-2.496128e-08	-2.496128e-08
3.600000e-01	-2.489407e-08	-2.489407e-08	-2.489407e-08
3.610000e-01	-2.482915e-08	-2.482915e-08	-2.482915e-08
3.620000e-01	-2.476709e-08	-2.476709e-08	-2.476709e-08
3.630000e-01	-2.470851e-08	-2.470851e-08	-2.470851e-08
3.640000e-01	-2.465399e-08	-2.465399e-08	-2.465399e-08
3.650000e-01	-2.460417e-08	-2.460417e-08	-2.460417e-08
3.660000e-01	-2.455965e-08	-2.455965e-08	-2.455965e-08
3.670000e-01	-2.452102e-08	-2.452102e-08	-2.452102e-08
3.680000e-01	-2.448887e-08	-2.448887e-08	-2.448887e-08
3.690000e-01	-2.446374e-08	-2.446374e-08	-2.446374e-08
3.700000e-01	-2.444615e-08	-2.444615e-08	-2.444615e-08
3.710000e-01	-2.443657e-08	-2.443657e-08	-2.443657e-08
3.720000e-01	-2.443542e-08	-2.443542e-08	-2.443542e-08
3.730000e-01	-2.444306e-08	-2.444306e-08	-2.444306e-08
3.740000e-01	-2.445981e-08	-2.445981e-08	-2.445981e-08
3.750000e-01	-2.448590e-08	-2.448590e-08	-2.448590e-08
3.760000e-01	-2.452152e-08	-2.452152e-08	-2.452152e-08
3.770000e-01	-2.456676e-08	-2.456676e-08	-2.456676e-08
3.780000e-01	-2.462166e-08	-2.462166e-08	-2.462166e-08
3.790000e-01	-2.468617e-08	-2.468617e-08	-2.468617e-08
3.800000e-01	-2.476017e-08	-2.476017e-08	-2.476017e-08
3.810000e-01	-2.484350e-08	-2.484350e-08	-2.484350e-08
3.820000e-01	-2.493587e-08	-2.493587e-08	-2.493587e-08
3.830000e-01	-2.503698e-08	-2.503698e-08	-2.503698e-08
3.840000e-01	-2.514644e-08	-2.514644e-08	-2.514644e-08
3.850000e-01	-2.526378e-08	-2.526378e-08	-2.526378e-08
3.860000e-01	-2.538850e-08	-2.538850e-08	-2.538850e-08
3.870000e-01	-2.552005e-08	-2.552005e-08	-2.552005e-08
3.880000e-01	-2.565781e-08	-2.565781e-08	-2.565781e-08
3.890000e-01	-2.580113e-08	-2.580113e-08	-2.580113e-08
3.900000e-01	-2.594932e-08	-2.594932e-08	-2.594932e-08
3.910000e-01	-2.610165e-08	-2.610165e-08	-2.610165e-08
3.920000e-01	-2.625738e-08	-2.625738e-08	-2.625738e-08
3.930000e-01	-2.641574e-08	-2.641574e-08	-2.641574e-08
3.940000e-01	-2.657594e-08	-2.657594e-08	-2.657594e-08
