# time(ps) 	kappa_vv_mean	kappa_vv_upper	kappa_vv_lower
2.610000e-01	3.091403e-15	3.091403e-15	3.091403e-15
2.620000e-01	3.085548e-15	3.085548e-15	3.085548e-15
2.630000e-01	3.079722e-15	3.079722e-15	3.079722e-15
2.640000e-01	3.073918e-15	3.073918e-15	3.073918e-15
2.650000e-01	3.068128e-15	3.068128e-15	3.068128e-15
2.660000e-01	3.062342e-15	3.062342e-15	3.062342e-15
2.670000e-01	3.056553e-15	3.056553e-15	3.056553e-15
2.680000e-01	3.050750e-15	3.050750e-15	3.050750e-15
2.690000e-01	3.044924e-15	3.044924e-15	3.044924e-15
2.700000e-01	3.039065e-15	3.039065e-15	3.039065e-15
2.710000e-01	3.033165e-15	3.033165e-15	3.033165e-15
2.720000e-01	3.027215e-15	3.027215e-15	3.027215e-15
2.730000e-01	3.021204e-15	3.021204e-15	3.021204e-15
2.740000e-01	3.015125e-15	3.015125e-15	3.015125e-15
2.750000e-01	3.008969e-15	3.008969e-15	3.008969e-15
2.760000e-01	3.002729e-15	3.002729e-15	3.002729e-15
2.770000e-01	2.996397e-15	2.996397e-15	2.996397e-15
2.780000e-01	2.989967e-15	2.989967e-15	2.989967e-15
2.790000e-01	2.983434e-15	2.983434e-15	2.983434e-15
2.800000e-01	2.976792e-15	2.976792e-15	2.976792e-15
2.810000e-01	2.970037e-15	2.970037e-15	2.970037e-15
2.820000e-01	2.963165e-15	2.963165e-15	2.963165e-15
2.830000e-01	2.956175e-15	2.956175e-15	2.956175e-15
2.840000e-01	2.949063e-15	2.949063e-15	2.949063e-15
2.850000e-01	2.941830e-15	2.941830e-15	2.941830e-15
2.860000e-01	2.934475e-15	2.934475e-15	2.934475e-15
2.870000e-01	2.926998e-15	2.926998e-15	2.926998e-15
2.880000e-01	2.919402e-15	2.919402e-15	2.919402e-15
2.890000e-01	2.911689e-15	2.911689e-15	2.911689e-15
2.900000e-01	2.903862e-15	2.903862e-15	2.903862e-15
2.910000e-01	2.895924e-15	2.895924e-15	2.895924e-15
2.920000e-01	2.887881e-15	2.887881e-15	2.887881e-15
2.930000e-01	2.879736e-15	2.879736e-15	2.879736e-15
2.940000e-01	2.871495e-15	2.871495e-15	2.871495e-15
2.950000e-01	2.863166e-15	2.863166e-15	2.863166e-15
2.960000e-01	2.854753e-15	2.854753e-15	2.854753e-15
2.970000e-01	2.846264e-15	2.846264e-15	2.846264e-15
2.980000e-01	2.837706e-15	2.837706e-15	2.837706e-15
2.990000e-01	2.829087e-15	2.829087e-15	2.829087e-15
3.000000e-01	2.820413e-15	2.820413e-15	2.820413e-15
3.010000e-01	2.811694e-15	2.811694e-15	2.811694e-15
3.020000e-01	2.802936e-15	2.802936e-15	2.802936e-15
3.030000e-01	2.794148e-15	2.794148e-15	2.794148e-15
3.040000e-01	2.785338e-15	2.785338e-15	2.785338e-15
3.050000e-01	2.776514e-15	2.776514e-15	2.776514e-15
3.060000e-01	2.767684e-15	2.767684e-15	2.767684e-15
3.070000e-01	2.758856e-15	2.758856e-15	2.758856e-15
3.080000e-01	2.750038e-15	2.750038e-15	2.750038e-15
3.090000e-01	2.741238e-15	2.741238e-15	2.741238e-15
3.100000e-01	2.732464e-15	2.732464e-15	2.732464e-15
3.110000e-01	2.723723e-15	2.723723e-15	2.723723e-15
3.120000e-01	2.715023e-15	2.715023e-15	2.715023e-15
3.130000e-01	2.706372e-15	2.706372e-15	2.706372e-15
3.140000e-01	2.697777e-15	2.697777e-15	2.697777e-15
3.150000e-01	2.689245e-15	2.689245e-15	2.689245e-15
3.160000e-01	2.680785e-15	2.680785e-15	2.680785e-15
3.170000e-01	2.672402e-15	2.672402e-15	2.672402e-15
3.180000e-01	2.664103e-15	2.664103e-15	2.664103e-15
3.190000e-01	2.655897e-15	2.655897e-15	2.655897e-15
3.200000e-01	2.647789e-15	2.647789e-15	2.647789e-15
3.210000e-01	2.639787e-15	2.639787e-15	2.639787e-15
3.220000e-01	2.631896e-15	2.631896e-15	2.631896e-15
3.230000e-01	2.624123e-15	2.624123e-15	2.624123e-15
3.240000e-01	2.616475e-15	2.616475e-15	2.616475e-15
3.250000e-01	2.608957e-15	2.608957e-15	2.608957e-15
3.260000e-01	2.601575e-15	2.601575e-15	2.601575e-15
3.270000e-01	2.594335e-15	2.594335e-15	2.594335e-15
3.280000e-01	2.587243e-15	2.587243e-15	2.587243e-15
3.290000e-01	2.580303e-15	2.580303e-15	2.580303e-15
3.300000e-01	2.573520e-15	2.573520e-15	2.573520e-15
3.310000e-01	2.566898e-15	2.566898e-15	2.566898e-15
3.320000e-01	2.560443e-15	2.560443e-15	2.560443e-15
