# time(ps) 	kappa_ev_mean	kappa_ev_upper	kappa_ev_lower
3.480000e-01	-2.586645e-08	-2.586645e-08	-2.586645e-08
3.490000e-01	-2.580095e-08	-2.580095e-08	-2.580095e-08
3.500000e-01	-2.573432e-08	-2.573432e-08	-2.573432e-08
3.510000e-01	-2.566657e-08	-2.566657e-08	-2.566657e-08
3.520000e-01	-2.559779e-08	-2.559779e-08	-2.559779e-08
3.530000e-01	-2.552813e-08	-2.552813e-08	-2.552813e-08
3.540000e-01	-2.545779e-08	-2.545779e-08	-2.545779e-08
3.550000e-01	-2.538706e-08	-2.538706e-08	-2.538706e-08
3.560000e-01	-2.531626e-08	-2.531626e-08	-2.531626e-08
3.570000e-01	-2.524576e-08	-2.524576e-08	-2.524576e-08
3.580000e-01	-2.517601e-08	-2.517601e-08	-2.517601e-08
3.590000e-01	-2.510749e-08	-2.510749e-08	-2.510749e-08
3.600000e-01	-2.504070e-08	-2.504070e-08	-2.504070e-08
3.610000e-01	-2.497621e-08	-2.497621e-08	-2.497621e-08
3.620000e-01	-2.491458e-08	-2.491458e-08	-2.491458e-08
3.630000e-01	-2.485642e-08	-2.485642e-08	-2.485642e-08
3.640000e-01	-2.480234e-08	-2.480234e-08	-2.480234e-08
3.650000e-01	-2.475295e-08	-2.475295e-08	-2.475295e-08
3.660000e-01	-2.470886e-08	-2.470886e-08	-2.470886e-08
3.670000e-01	-2.467066e-08	-2.467066e-08	-2.467066e-08
3.680000e-01	-2.463894e-08	-2.463894e-08	-2.463894e-08
3.690000e-01	-2.461425e-08	-2.461425e-08	-2.461425e-08
3.700000e-01	-2.459709e-08	-2.459709e-08	-2.459709e-08
3.710000e-01	-2.458794e-08	-2.458794e-08	-2.458794e-08
3.720000e-01	-2.458722e-08	-2.458722e-08	-2.458722e-08
3.730000e-01	-2.459530e-08	-2.459530e-08	-2.459530e-08
3.740000e-01	-2.461249e-08	-2.461249e-08	-2.461249e-08
3.750000e-01	-2.463902e-08	-2.463902e-08	-2.463902e-08
3.760000e-01	-2.467507e-08	-2.467507e-08	-2.467507e-08
3.770000e-01	-2.472075e-08	-2.472075e-08	-2.472075e-08
3.780000e-01	-2.477608e-08	-2.477608e-08	-2.477608e-08
3.790000e-01	-2.484103e-08	-2.484103e-08	-2.484103e-08
3.800000e-01	-2.491547e-08	-2.491547e-08	-2.491547e-08
3.810000e-01	-2.499923e-08	-2.499923e-08	-2.499923e-08
3.820000e-01	-2.509205e-08	-2.509205e-08	-2.509205e-08
3.830000e-01	-2.519360e-08	-2.519360e-08	-2.519360e-08
3.840000e-01	-2.530349e-08	-2.530349e-08	-2.530349e-08
3.850000e-01	-2.542127e-08	-2.542127e-08	-2.542127e-08
3.860000e-01	-2.554643e-08	-2.554643e-08	-2.554643e-08
3.870000e-01	-2.567842e-08	-2.567842e-08	-2.567842e-08
3.880000e-01	-2.581661e-08	-2.581661e-08	-2.581661e-08
3.890000e-01	-2.596037e-08	-2.596037e-08	-2.596037e-08
3.900000e-01	-2.610900e-08	-2.610900e-08	-2.610900e-08
3.910000e-01	-2.626177e-08	-2.626177e-08	-2.626177e-08
3.920000e-01	-2.641794e-08	-2.641794e-08	-2.641794e-08
3.930000e-01	-2.657674e-08	-2.657674e-08	-2.657674e-08
3.940000e-01	-2.673738e-08	-2.673738e-08	-2.673738e-08
